,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,0.0007603094194629978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007458635404932009,0.0
0.01,0.0007606317919695974,-3.409693176677859e-07,-7.469210287589072e-05,-8.679397621604448e-09,-8.953145117420056e-07,-3.1441128951869386e-08,3.295436009625473e-07,-9.857900316757184e-14,-2.2548783736674824e-11,-0.007503722052928552,1.812107300021293e-05,0.00011296076012864921,-2.329949996247246e-09
0.02,0.0007607823186109558,-1.4527027615387693e-06,-0.00014737705659997668,-1.753425770451962e-08,-9.016051913919112e-07,-3.0135754464316476e-08,-3.22896930487405e-08,-4.3678593985326606e-13,-4.5009464335513377e-11,-0.0072022191176148945,-3.0692077007863326e-06,2.406194642093069e-06,-2.2286180859565895e-09
0.03,0.0007609496422165856,-3.2817467758079464e-06,-0.00021795550617192199,-2.671046188125059e-08,-9.352378752641049e-07,-3.035685140310205e-08,-2.0722417209347206e-08,-9.968141296985965e-13,-6.684827659611123e-11,-0.006893960233820553,-4.111048058643221e-06,-2.382951626714487e-06,-2.132939768540628e-09
0.04,0.0007612907497987191,-5.799617890417299e-06,-0.00028494904671969186,-3.628686324644037e-08,-9.819694162881594e-07,-3.0627813993680606e-08,-3.047497880908541e-08,-1.769974855060264e-12,-8.757702635656354e-11,-0.006486792358515857,-5.1713406929521435e-06,2.162061239459681e-08,-2.0072253357477617e-09
0.05,0.0007617571885758033,-8.964968682492142e-06,-0.0003473550101223951,-4.638653428367965e-08,-1.039894283410164e-06,-3.0971339183784225e-08,-3.71292707405861e-08,-2.7434807510488355e-12,-1.0688730395475728e-10,-0.005977881274274302,-6.409983683595272e-06,4.607258859918098e-07,-1.8496710867929293e-09
0.06,0.0007645261035322886,-1.2727822078226288e-05,-0.0004042939497763411,-5.712928332136723e-08,-1.110688610599979e-06,-3.1431244660441625e-08,-5.526075707519799e-08,-3.901867960260789e-12,-1.245048560165999e-10,-0.005397377195198545,-7.719112204524967e-06,-4.055788684455622e-07,-1.6699861927903004e-09
0.07,0.0007709586948112724,-1.703025452310136e-05,-0.00045515241072844936,-6.864522556567722e-08,-1.1944734543661588e-06,-3.2074367561959206e-08,-7.251790789964012e-08,-5.227200064012291e-12,-1.402396120703262e-10,-0.00476441528687952,-8.954348285596797e-06,-6.117137440730816e-06,-1.4739651067492422e-09
0.08,0.0007683202793464367,-2.1807267408514324e-05,-0.0004989915096338299,-8.100615351861243e-08,-1.2768731654358575e-06,-3.2602794164530933e-08,-2.5418665326037047e-08,-6.699396048371699e-12,-1.5381203241989068e-10,-0.003974096993412907,-7.64993599767453e-06,-7.153337692035119e-06,-1.231202596751213e-09
0.09,0.0007251966577271285,-2.6976916147060044e-05,-0.0005328713020004718,-9.402529148301896e-08,-1.3185116309097337e-06,-3.1899763483851056e-08,1.5736794322590706e-07,-8.293325020433678e-12,-1.6434089565748777e-10,-0.0027170221221858573,-4.607492633646772e-06,-1.8381426717574943e-05,-8.442381085055762e-10
0.1,0.0006628573089809654,-3.241802483188084e-05,-0.0005529399434931859,-1.0736305626406919e-07,-1.3478298805921923e-06,-3.023285304942827e-08,1.8444367199891184e-07,-9.971752483071321e-12,-1.7060205839268122e-10,-0.0012797516701746614,-3.793088123291849e-06,1.8049685199547942e-05,-4.004245848015852e-10
0.11,0.0006704359700529509,-3.799498453009027e-05,-0.0005611524613065175,-1.2130230918612693e-07,-1.455868807307092e-06,-3.0272795564573916e-08,-1.478416970225423e-07,-1.169246355901244e-11,-1.7312979241530217e-10,-0.0004883050260887001,-1.1213281762826113e-05,3.276849619089444e-05,-1.5261950550395152e-10
0.12,0.0007601304671897952,-4.362758469540203e-05,-0.0005653489279503747,-1.3678503369482147e-07,-1.655321463126423e-06,-3.349819093084581e-08,-4.5983401734621675e-07,-1.3429976662992206e-11,-1.743568462370077e-10,-0.0004661903608541508,-2.0569580872567723e-05,1.877491304143027e-05,-1.394155148449908e-10
0.13,0.0010174793409452655,-4.9325977875181416e-05,-0.0005772620216622712,-1.5518873479922992e-07,-2.0501184233563905e-06,-4.249110279753078e-08,-1.12401845021508e-06,-1.5186416298977932e-11,-1.778303860662523e-10,-0.0021017919103608384,-3.962419271122744e-05,2.963032156692554e-05,-6.337488676476811e-10
0.14,0.0014323953682371022,-5.5250475998765734e-05,-0.0006130344930802703,-1.7845806262033036e-07,-2.62274725327938e-06,-5.774930038708357e-08,-1.6817019573724429e-06,-1.7010091097363306e-11,-1.8857293913841926e-10,-0.005173896516666248,-5.426297623683553e-05,-2.7853337356633506e-05,-1.5734690639521696e-09
0.15,0.001409614808462117,-6.163294675364242e-05,-0.0006607189753315499,-2.0541222716443338e-07,-2.715318943725373e-06,-6.241090782658907e-08,1.1801114908560527e-07,-1.8974199344266526e-11,-2.0341000746797486e-10,-0.003929314404117545,-5.2888076598166245e-06,-3.3376533491238924e-05,-1.219342799381576e-09
0.16,0.0009033549513493696,-6.83505853014764e-05,-0.0006721629359963138,-2.30580528700828e-07,-2.2611850901479855e-06,-4.829626422787897e-08,1.9889540518446234e-06,-2.104470496563903e-11,-2.0740480886218016e-10,0.0020798072153037743,4.5137693833437534e-05,-1.6278872402515458e-05,6.057750209453546e-10
0.17,0.00045032034556523814,-7.487587193685302e-05,-0.0006239560732595925,-2.5115977093524703e-07,-1.8640161493285462e-06,-3.053313047608548e-08,1.6648246962014106e-06,-2.3059717275658524e-11,-1.9283069892829147e-10,0.007456690671049983,3.7628139348386616e-05,6.626180840035877e-05,2.2742052719707255e-09
0.18,0.000539092366345021,-8.072361104054612e-05,-0.0005462776605057107,-2.704230330288652e-07,-2.0559430969809486e-06,-2.85232727585151e-08,-5.298904390976891e-07,-2.4866220078353203e-11,-1.686673525053854e-10,0.007519430211639886,-2.06121973145984e-05,3.3493415220080215e-05,2.3300418271988087e-09
0.19,0.00062060493297769,-8.580980182546185e-05,-0.00047084601646897486,-2.9187421550679985e-07,-2.227349385614612e-06,-3.246443208888685e-08,-3.28690386294779e-07,-2.6436196452788236e-11,-1.45289121974164e-10,0.007586532826736886,-1.5130921472957318e-05,-5.245712281885394e-05,2.350842630654518e-09
0.2,-0.0002552584269481451,-9.001327546451423e-05,-0.00035320729651230204,-3.101510120336432e-07,-1.3136286843990333e-06,-9.084921820018917e-09,3.5260922810315302e-06,-2.7736811960617156e-11,-1.096966929047377e-10,0.01674181551702519,8.713460859328774e-05,1.6023938346331834e-05,5.124018273444946e-09
0.21,-0.0004518363361944701,-9.264796107454491e-05,-0.00017098541949575507,-3.21954526629882e-07,-1.1241000230190082e-06,6.229992015322382e-09,6.26752170769222e-07,-2.8556427395261197e-11,-5.337402050117029e-11,0.01901343435328032,1.616666705362823e-05,4.1268413578944216e-05,5.866577738425122e-09
0.22,0.000604921865852014,-9.354080031936626e-05,-2.6595237170785055e-05,-3.385367443947508e-07,-2.335828313183922e-06,-2.197158654602608e-08,-4.427180941975595e-06,-2.8832618579677996e-11,-7.724817635527423e-12,0.008700756713563552,-0.00012883131452366345,8.894895209193582e-05,2.7738749308909975e-09
0.23,0.0024588119862491006,-9.364941351914077e-05,-2.6520650934180733e-05,-3.7196840885125293e-07,-4.443846497244248e-06,-8.670827113860833e-08,-7.404993490756191e-06,-2.8853709749209458e-11,-6.188736290479007e-12,-0.009386768970918828,-0.00021113093125204804,1.17497729926197e-06,-2.76583246509556e-09
0.24,0.0037094551565468995,-9.460639431884488e-05,-0.00018363242478942047,-4.24040109330728e-07,-5.901536028312642e-06,-1.4309859047413937e-07,-4.79701329425315e-06,-2.912522701793249e-11,-5.3925206915596895e-11,-0.021417968146856998,-0.00014152602328463063,-5.4391342609556165e-05,-6.530017693931532e-09
0.25,0.0032569591518825116,-9.748227546313045e-05,-0.0003807658598401389,-4.817872075395275e-07,-5.456882357390296e-06,-1.4412656596720566e-07,2.045637459866919e-06,-2.9988840997837796e-11,-1.154887305663965e-10,-0.016460809294495546,4.941745486287258e-05,-7.789555576924803e-05,-5.12326579999654e-09
0.26,0.0013180300068076157,-0.00010182828420583526,-0.00045339198542052663,-5.265718921039526e-07,-3.324353624867002e-06,-8.390288536040042e-08,7.944117065402792e-06,-3.131853682337984e-11,-1.39644162954195e-10,0.0033136511090487903,0.00022861917878123396,-0.00013349202136298888,8.699738226973616e-10
0.27,-0.0017021869162953975,-0.00010572611541453951,-0.00027440402897679304,-5.436108170497781e-07,5.4382768912936316e-08,2.3380227126734338e-08,1.2106124464791959e-05,-3.253031636787852e-11,-8.672686696147581e-11,0.03345033986852325,0.0003470971181141905,-7.322276042714166e-05,1.0118264860471432e-08
