Time,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0016374268328383144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016063157230143864,0.0
0.02,-0.012631579309577331,1.4264426273635147e-06,0.00025106754434555653,2.965765055677299e-12,3.8263914710712965e-10,8.972568273891522e-06,0.0011473526104118655,1.3362215470740697e-11,3.333514075843092e-09,0.03217146543860119,3.1120341477397506e-08,0.09145122678875271,6.780595636785022e-07
0.04,-0.011812865835808428,1.579328819531068e-05,0.0013068921698591335,1.588598201086518e-11,8.683688992523288e-10,4.66500759724687e-05,0.002463878320346451,4.4310921460837036e-10,5.5504598310627394e-08,0.068739713821434,1.8737656579115303e-08,0.04428391559743202,5.450460457493811e-06
0.06,-0.010292397841252411,5.680643647350656e-05,0.0028309058164462174,3.638717308109088e-11,1.155595524845406e-09,0.0001022833725758713,0.0029901858734764737,3.2181051320350667e-09,2.5399763068124573e-07,0.079823513306825,1.0882253480282156e-08,0.01135796621250182,1.499317424029879e-05
0.08,-0.011111111085622337,0.00012929959986388703,0.004409008148407037,6.181325327812484e-11,1.3942624964540067e-09,0.00016427061590635424,0.0032050994431383393,1.2048573215586843e-08,6.669678886955073e-07,0.07698339193373484,1.3057817070671884e-08,0.010306083376324719,2.6322220680862232e-05
0.1,-0.01403508812175259,0.0002325728906970647,0.005906572084873502,9.285243588922593e-11,1.734759283972214e-09,0.0002316109071160408,0.0035803590246341224,3.137010713105113e-08,1.2995175780204883e-06,0.0733897022504752,2.0586487514684393e-08,0.025827259412954665,3.662080321148971e-05
0.12,-0.016608186463745685,0.00036523938468103643,0.007352322606565757,1.319986313047487e-10,2.1954335150979954e-09,0.00030886030338819656,0.0041651956199085976,6.526791265239567e-08,2.11759661587547e-06,0.07103439363872266,2.5235666917255983e-08,0.032054083427320905,4.481735835254852e-05
0.14,-0.014970760663202761,0.0005259209263795777,0.008670078104189185,1.8043264890058317e-10,2.625068275358767e-09,0.0003964276793984721,0.004497965257874601,1.1701634771569737e-07,3.076712554535064e-06,0.05744392692690623,1.8360713810450235e-08,0.0038356788427845283,5.0636194382027836e-05
0.16,-0.012865497444939875,0.0007090201930434453,0.009538098611771411,2.3621853163091635e-10,2.9362436149583153e-09,0.0004856693756493484,0.0043617921919995965,1.888977075709283e-07,4.118746923080927e-06,0.02703548398316262,1.3132154280670605e-08,-0.01555563840505414,5.2793667292006395e-05
0.18,-0.00994152040880962,0.0009025289360362586,0.009670541217103422,2.971594345393348e-10,3.1386619799764685e-09,0.0005685097259022053,0.0038668733049749496,2.8171008267258453e-07,5.151192589334155e-06,-0.01549526771388558,7.49088796547781e-09,-0.03227615405324671,4.937937785558054e-05
0.2,-0.00994152040880962,0.0010898667977078623,0.0089223396577655,3.616253192115327e-10,3.3162640729728983e-09,0.000640368472921768,0.003362038508613199,3.9404133226101465e-07,6.047669617049039e-06,-0.057760907601274766,9.885271184950639e-09,-0.019333750276303272,3.910517102536303e-05
0.22,-0.015321637866246577,0.0012548521203259511,0.007508295857640766,4.309667182267458e-10,3.6625372742241435e-09,0.0007073879426587424,0.003498389227053938,5.218068791296673e-07,6.67422941571211e-06,-0.07831554685394121,2.334281914984082e-08,0.028416109841373653,2.27755337323206e-05
0.24,-0.0205847959119038,0.0013893784999142523,0.005963739166658186,5.094127370139469e-10,4.204351080046785e-09,0.000784994922085331,0.004345945619080229,6.586055109847317e-07,6.943300829544063e-06,-0.07264430410067912,3.0083565943916923e-08,0.05365141435639952,4.158498160785229e-06
0.26,-0.02269005798317181,0.0014951532594085083,0.004665215360363203,5.991894101038669e-10,4.758227489514498e-09,0.0008818408032038066,0.005301761827390408,7.971476017896859e-07,6.856273839505144e-06,-0.05719131487159354,2.5393726482692003e-08,0.042588577987717986,-1.2190574171487892e-05
0.28,-0.018947368964366,0.001577583723627416,0.003584836730284447,6.981293550092769e-10,5.075929706242163e-09,0.000992482110409364,0.005590812738742759,9.309722514005569e-07,6.4869346399526085e-06,-0.054870502275264216,7.821123720885836e-09,-0.009110735439550467,-2.3995021794494232e-05
0.3,-0.01684210459910823,0.0016376002492902067,0.002376255028128592,8.005873879298852e-10,5.143682680318536e-09,0.0011011341809085834,0.00521563819766606,1.0553095059038358e-06,5.91851205414346e-06,-0.06696889640419808,-4.6453957347480923e-10,-0.026779036539195278,-3.25110417117116e-05
0.32,-0.012631579309577331,0.0016705489802808023,0.0008507055676993326,9.025684209507434e-10,5.016568057568561e-09,0.0011981200387172822,0.004397484830122783,1.166670030368979e-06,5.192196347955018e-06,-0.0872252241554583,-1.1441496472475166e-08,-0.0525940416558744,-4.016058431493576e-05
0.34,-0.00959064297636683,0.0016685113503806487,-0.0011329489772217815,1.0001536182323598e-09,4.722658652267786e-09,0.0012751218455722025,0.0032845204503938567,1.2619257210930677e-06,4.304087507707356e-06,-0.11070639996450071,-1.7814748010103187e-08,-0.05806250161484352,-4.8963147812370916e-05
0.36,-0.004912280498514943,0.0016221984879005369,-0.003575321460590704,1.0904152785070886e-09,4.2712820327545444e-09,0.0013280554595482968,0.001959618802907375,1.3375244289943294e-06,3.2195157695220626e-06,-0.13373639876051457,-2.7317228534773363e-08,-0.07292364270039267,-5.98649518407363e-05
0.38,-0.00771929812286546,0.001523060536235143,-0.006352281278659087,1.171231669048734e-09,3.8457088908731265e-09,0.0013563321612403442,0.0010284716620787887,1.3891089417065764e-06,1.8961626371650309e-06,-0.13805365204189585,-1.6725993590149812e-08,-0.024626915053232563,-7.264421835458112e-05
0.4,-0.015321637866246577,0.001370071024100387,-0.008824883249029624,1.2461311660664499e-09,3.7009587233651346e-09,0.0013768103919278316,0.0012290372257281615,1.411669373729005e-06,3.2082208759366695e-07,-0.10185573088121126,5.46180406457708e-10,0.03861600516119953,-8.425973976493263e-05
0.42,-0.022222221712446723,0.0011774248065836725,-0.010208517416922937,1.3208982393814328e-09,3.804532529707736e-09,0.0014113900967586122,0.002326232288472177,1.4007568515198322e-06,-1.428200908970176e-06,-0.03273662010792455,9.401837253175671e-09,0.0679941131444131,-8.901158225568112e-05
0.44,-0.02292397726552923,0.0009716990848293799,-0.010128161410096427,1.398133804498618e-09,3.889337353586782e-09,0.0014691514316771278,0.0033452253201769326,1.3546361000989491e-06,-3.161282197057798e-06,0.038017938177152696,1.7364931714780596e-10,0.036542754314605665,-8.219116903100774e-05
0.46,-0.00771929812286546,0.0007793627395534195,-0.00904528348497321,1.4726809773866733e-09,3.4203289951092326e-09,0.001532855974150928,0.0025678697401688862,1.2760272129003604e-06,-4.639057130496318e-06,0.05667546073571417,-4.308771933692057e-08,-0.10129839813195006,-6.41739571649333e-05
0.48,0.0035087719157386593,0.0006078819901871313,-0.008226862525351819,1.5311828145101793e-09,2.375520827808471e-09,0.0015603438658726317,2.6659443253752953e-05,1.1718581482325342e-06,-5.706282243679376e-06,0.019725673481707486,-5.949630971224806e-08,-0.14777164057103925,-4.286902767078348e-05
0.5,0.016491228543059292,0.0004433435153899355,-0.008445820416170816,1.5656191281290106e-09,1.0171605449633396e-09,0.0015284923915076323,-0.003331219126680398,1.0503299043623787e-06,-6.395706278347941e-06,-0.04564548225173715,-7.486249145594037e-08,-0.18382643565730733,-2.7731741602334253e-05
0.52,-0.00573099420168282,0.0002629048567314597,-0.009596122328158185,1.5767527909211082e-09,3.530080471087782e-10,0.0014438803668581936,-0.0043093184204548675,9.173112769410613e-07,-6.892989108182384e-06,-0.04616690257233484,2.2264731933119286e-09,0.06344898485227313,-2.3611769456385477e-05
0.54,-0.014970760663202761,6.654074389284034e-05,-0.009777076936162487,1.5853937761857043e-09,5.624774346291006e-10,0.0013737015180314298,-0.0025661351620445637,7.74740976716433e-07,-7.361642752797885e-06,0.032530993108659395,1.7753832726868923e-08,0.10644084221460245,-2.2695482121805842e-05
0.56,-0.01684210459910823,-0.000116822784667513,-0.008294029993988759,1.5996450382966324e-09,8.409029381552737e-10,0.0013412062940198833,-0.0007923133806055291,6.233661002844189e-07,-7.747313172911468e-06,0.11223837451892965,1.120969053691745e-08,0.07361383025797923,-1.4067718777479904e-05
