Time,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0014275799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014004558819000002,0.0
0.02,-0.01101276,8.706824234315104e-06,0.0011922102542189549,1.4018319225211768e-07,1.2768993499620722e-05,3.20281267486466e-07,1.8753551765992378e-05,2.6015830121968836e-12,3.611987964083803e-10,0.10631314546342553,0.0005698620241401525,7.258633713923095e-05,3.2592761878684675e-08
0.04,-0.01029897,5.324519452230075e-05,0.003204679673361864,3.983645816154821e-07,1.2874063484240504e-05,4.1640025729547905e-07,-5.36742972396418e-07,1.6244674883694613e-11,9.849873079049163e-10,0.09197541449782426,1.3034027806939352e-05,-9.014325619265649e-05,2.8475436399834348e-08
0.06,-0.0089733599,0.00013407981431970902,0.004790875800824044,6.544193146435816e-07,1.2821359935341338e-05,3.8206547922583793e-07,-2.042844367082326e-06,4.1131917967997675e-11,1.4764975727043456e-09,0.06585931949478087,2.649470678937199e-05,-0.0001013515652957906,2.0396996256442142e-08
0.08,-0.0096871497,0.00024236522693535443,0.006004870273797298,9.370296277923967e-07,1.5589150897218944e-05,3.9710873876701773e-07,1.9526682474906947e-06,7.451106949651512e-11,1.851348554777174e-09,0.055475353850685354,0.00016587961896610826,-7.461843459992401e-05,1.711939072425938e-08
0.1,-0.0122364,0.00037381888155175596,0.007155396494798368,1.300748778167647e-06,2.091683996976817e-05,4.885582121123719e-07,5.6336340068767855e-06,1.1503168827973754e-10,2.205399655355167e-09,0.05936034724876126,0.00027694262177305196,5.9812857311675877e-05,1.8277276954582885e-08
0.12,-0.014479739,0.0005286996031974493,0.008323585699502943,1.7732511225593003e-06,2.6400608208868185e-05,5.959107959163474e-07,5.2824543237875994e-06,1.6276609201863572e-10,2.565208639515073e-09,0.056739651902524585,0.0002816510548021012,1.2281008869102772e-05,1.747493298280339e-08
0.14,-0.01305216,0.0007038596077172075,0.009051376866743073,2.3174273502980026e-06,2.794785316774224e-05,6.010385350299909e-07,-1.7018785773722852e-06,2.167696620194557e-10,2.791336963323154e-09,0.014991062546270112,7.679799987388158e-05,-3.413873433631698e-07,4.674678439427118e-09
0.16,-0.0112167,0.0008847602128139791,0.008886531744723713,2.8878788898772524e-06,2.906935993541186e-05,5.533824753108418e-07,-2.6607484559503217e-06,2.7256695125947485e-10,2.741305300248975e-09,-0.03145251983467895,5.1931936415686164e-05,2.594428746380273e-06,-9.683458212584109e-09
0.18,-0.0086674497,0.0010527491954109157,0.007741025551162534,3.4703497607732667e-06,2.9082881360693673e-05,4.793497080798818e-07,-4.132575573107026e-06,3.2439415621193696e-10,2.3883774531700175e-09,-0.08257099287693634,-6.626460676131818e-06,-3.484362306162975e-05,-2.547798402547513e-08
