Time,earthquake,ut,vt,ub,vb,uo,vo,phi,omega,at,ab,ao,alpha
0.0,-0.0014275799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014004558819000002,0.0
0.02,-0.01101276,1.2438754335481557e-06,0.00021889151009071836,2.585700927001247e-12,3.335762358907442e-10,7.822681686596042e-06,0.0010002328968193171,1.1668704984117225e-11,2.907773789076259e-09,0.028046250643411597,2.7061968497707478e-08,0.079733348703941,5.911961064851812e-07
0.04,-0.01029897,1.3766831364341e-05,0.0011394613509394158,1.3850739063355714e-11,7.570727052052764e-10,4.067381527639951e-05,0.0021480922225222262,3.8650609065653956e-10,4.837941330363392e-08,0.059930228566235914,1.6354961163145276e-08,0.03860906153219602,4.751319366929948e-06
0.06,-0.0089733599,4.9523603286426396e-05,0.0024681732435274262,3.172456330219561e-11,1.0074905460309804e-09,8.917747414502387e-05,0.0026069544471521303,2.805709400661256e-09,2.2141817790701504e-07,0.06959374254813132,9.50768989232964e-09,0.009902647457149253,1.3071759291876834e-05
0.08,-0.0096871497,0.00011272676561640786,0.003843953904662962,5.38923255351579e-11,1.2155624797778139e-09,0.0001432196263461846,0.002794301231210994,1.0506519027901282e-08,5.814677511612015e-07,0.06711679008772083,1.1370481639572105e-08,0.008986333706934548,2.294789680018676e-05
0.1,-0.0122364,0.00020276457085777603,0.00514957666929135,8.095335996958749e-11,1.512408882449259e-09,0.0002019289289522439,0.003121431448421935,2.735142724268239e-08,1.1329365249486802e-06,0.06398260890284374,1.7942604221832248e-08,0.02251946906744958,3.192740000354948e-05
0.12,-0.014479739,0.00031842818407381825,0.00641002739275828,1.1508230006936036e-10,1.91403958910556e-09,0.00026927731505915737,0.003631308320464651,5.690427664081269e-08,1.8461706215304343e-06,0.06192896704832728,2.1989940299227406e-08,0.027948596978624805,3.9073615485917736e-05
0.14,-0.01305216,0.0004585157091334139,0.007558902312126379,1.573086955940465e-10,2.28856516231692e-09,0.0003456215987123186,0.0039212905509988984,1.0201967917303534e-07,2.6823663155005527e-06,0.05007654569037283,1.597896734373272e-08,0.003350484596114152,4.414668553419819e-05
0.16,-0.0112167,0.000618147528000916,0.008315598743964557,2.0594384000406276e-10,2.5598888780062146e-09,0.000423422805236319,0.003802674614029177,1.646879716585137e-07,3.5908511501631426e-06,0.0235681838475965,1.1455893469958234e-08,-0.013558398506508244,4.602741480070938e-05
0.18,-0.0086674497,0.0007868533972355844,0.00843104015269064,2.5907362738019477e-10,2.73635152634615e-09,0.0004956445208836317,0.003371160148509243,2.4560433349764993e-07,4.490967605317238e-06,-0.013512127443031766,6.4406349559176235e-09,-0.02813536227182237,4.305047549737604e-05
0.2,-0.0086674497,0.0009501785112205679,0.007778705430485152,3.1527634254483026e-10,2.891214008633926e-09,0.0005582916354740293,0.0029311152229977238,3.4353731917662604e-07,5.2725349608705564e-06,-0.05035803029585912,8.657385044963384e-09,-0.016854067370498365,3.409308157804983e-05
0.22,-0.01335807,0.0010940172510086601,0.0065458803587988045,3.7572992343895383e-10,3.1931061500317137e-09,0.0006167203076148556,0.0030499969802253025,4.549268314634621e-07,5.818791992578189e-06,-0.0682779762098741,2.0348632168154523e-08,0.024776270759562857,1.9856215319313927e-05
0.24,-0.01794672,0.0012112996392594413,0.005199301561222551,4.4412160695776376e-10,3.6654543239564233e-09,0.0006843808693241873,0.003788862488531358,5.741920655480062e-07,6.053367484427121e-06,-0.06333490759241053,2.6187431584334675e-08,0.04677942850314458,3.6249036455005814e-06
