Time,Acceleration(g)
6.04,-0.043643158
6.06,-0.01356201
6.08,0.0096871497
6.1,0.023453099
6.12,-0.013154129
6.14,-0.0050984998
6.16,0.0081575997
6.18,0.021413699
6.2,0.038748599
6.22,0.052004698
6.24,0.016009289
6.26,-0.0032630399
6.28,-0.01131867
6.3,0.00050984998
6.32,0.0077497196
6.34,0.0035689499
6.36,-0.0096871497
6.38,-0.0036709198
6.4,-0.00163152
6.42,0.0038748598
6.44,0.0086674497
6.46,-0.0057103197
6.48,-0.030998879
6.5,-0.042929367
6.52,-0.024880679
6.54,-0.02406492
6.56,-0.01804869
6.58,-0.013154129
6.6,-0.0018354599
6.62,0.020699909
6.64,-0.01101276
6.66,-0.0092792701
6.68,-0.00346698
6.7,-0.01080882
6.72,-0.01131867
6.74,-0.010095029
6.76,-0.00020394
6.78,0.0074438099
6.8,0.023962949
6.82,0.036199349
6.84,0.071888848
6.86,0.079434629
6.88,0.018762479
6.9,-0.026818108
6.92,-0.012644279
6.94,-0.0042827397
6.96,0.016213229
6.98,0.00489456
7,-0.022331429
7.02,-0.047619989
7.04,-0.043643158
7.06,-0.02202552
7.08,-0.00438471
7.1,0.016213229
7.12,0.032630399
7.14,0.04272543
7.16,0.01254231
7.18,-0.016315199
7.2,-0.020801879
7.22,-0.0083615395
7.24,-0.02100582
7.26,-0.013969889
7.28,-0.0056083498
7.3,0.00540441
7.32,0.013663979
7.34,0.027124019
7.36,0.02365704
7.38,0.0080556298
7.4,-0.00081575998
7.42,0.020393999
7.44,0.044356948
7.46,0.050169239
7.48,0.01947627
7.5,0.0093812395
7.52,-0.00224334
7.54,-0.0021413698
7.56,0.0053024396
7.58,0.0094832099
7.6,0.026002349
7.62,0.037524958
7.64,0.053534248
7.66,0.055165767
7.68,0.043337248
7.7,0.040584058
7.72,0.05700123
7.74,0.077089316
7.76,0.037219049
7.78,0.041909667
7.8,0.0099930598
7.82,-0.020801879
7.84,-0.025390529
7.86,-0.041297849
7.88,-0.042113608
7.9,-0.048027867
7.92,-0.044153008
7.94,-0.046702258
7.96,-0.0058122896
7.98,0.018150659
8,-0.021209758
8.02,-0.050169239
8.04,-0.054044098
8.06,-0.036913139
8.08,-0.041297849
8.1,-0.031406758
8.12,-0.032222519
8.14,-0.027022049
8.16,-0.027022049
8.18,-0.027429929
8.2,-0.035179649
8.22,-0.031508729
8.24,-0.02212749
8.26,-0.0079536599
8.28,0.0088713895
8.3,0.028653569
8.32,0.031610699
8.34,0.036505258
8.36,0.034771767
8.38,0.036505258
8.4,0.02926539
8.42,0.031100849
8.44,0.011420639
8.46,0.021821579
8.48,0.01386792
8.5,0.03915648
8.52,-0.087796165
8.54,-0.1376595
8.56,-0.1366398
8.58,-0.1376595
8.6,-0.1213443
8.62,-0.1060488
8.64,-0.084533129
8.66,-0.066382466
8.68,-0.04527468
8.7,-0.026308258
8.72,-0.0061181998
8.74,-0.0092792701
8.76,-0.01855854
8.78,-0.014989589
8.8,0.0086674497
8.82,0.016621109
8.84,0.0050984998
8.86,0.026920079
8.88,0.059346539
8.9,0.088407984
8.92,0.122364
8.94,0.17334899
8.96,0.1131867
8.98,-0.112167
9,-0.037321017
9.02,-0.045376648
9.04,-0.02406492
9.06,-0.097891197
9.08,-0.066892316
9.1,-0.060876089
9.12,-0.068319898
9.14,-0.056287439
9.16,-0.00275319
9.18,0.038544658
9.2,0.1091079
9.22,0.17028989
9.24,0.096565584
9.26,0.041603758
9.28,0.068013985
9.3,0.013460039
9.32,-0.0096871497
9.34,-0.053024398
9.36,-0.084329184
9.38,-0.1172655
9.4,-0.1172655
9.42,-0.08188191
9.44,-0.03762693
9.46,0.00295713
9.48,0.055573648
9.5,0.1203246
9.52,0.16417169
9.54,-0.027531899
9.56,0.00346698
9.58,-0.0057103197
9.6,0.0020393999
9.62,0.01488762
9.64,0.054757889
9.66,0.08137206
9.68,-0.020903849
9.7,-0.060162298
9.72,-0.017232929
9.74,-0.017844749
9.76,-0.0028551599
9.78,0.0075457798
9.8,0.038952539
9.82,0.057816989
9.84,0.07678341
9.86,0.081677966
9.88,0.060366239
9.9,0.030998879
9.92,0.0023453099
9.94,0.0065260799
9.96,-0.041399817
9.98,-0.045988467
10,-0.0080556298
10.02,0.017130959
10.04,0.057816989
10.06,0.0094832099
10.08,-0.0056083498
10.1,0.0044866799
10.12,-0.01254231
10.14,-0.02875554
10.16,-0.044560889
10.18,-0.03589344
10.2,-0.026002349
10.22,-0.01131867
10.24,0.020903849
10.26,0.05292243
10.28,0.087082379
10.3,0.1162458
10.32,0.074744011
10.34,0.02416689
10.36,-0.037524958
10.38,-0.027633869
10.4,-0.02212749
10.42,-0.08901981
10.44,-0.09921681
10.46,-0.060060329
10.48,-0.034261917
10.5,0.0078516895
10.52,0.026410229
10.54,0.051800757
10.56,0.036811167
10.58,0.0082595701
10.6,-0.0057103197
10.62,-0.021311729
10.64,-0.03232449
10.66,-0.024268858
10.68,-0.038340717
10.7,-0.056083498
10.72,-0.073622334
10.74,-0.08188191
10.76,-0.053330307
10.78,-0.034669799
10.8,-0.00112167
10.82,0.0066280498
10.84,-0.0037728899
10.86,-0.00050984998
10.88,-0.017130959
10.9,-0.041807699
10.92,-0.0081575997
10.94,0.0080556298
10.96,0.03813678
10.98,0.062711548
11,0.067810048
11.02,0.025900379
11.04,-0.0058122896
11.06,-0.04833378
11.08,-0.036301317
11.1,-0.024778708
11.12,-0.00489456
11.14,0.01284822
11.16,0.03864663
11.18,0.02457477
11.2,-0.02314719
11.22,-0.043643158
11.24,-0.069237629
11.26,-0.067402166
11.28,-0.060162298
11.3,-0.052310607
11.32,-0.041603758
11.34,-0.031508729
11.36,-0.027124019
11.38,-0.055165767
11.4,-0.064037157
11.42,-0.09258876
11.44,-0.1131867
11.46,-0.089835565
11.48,-0.078516897
11.5,-0.059346539
11.52,-0.048231808
11.54,-0.033956008
11.56,-0.020292029
11.58,0.0020393999
11.6,0.02151567
11.62,0.044051039
11.64,0.062507607
11.66,0.078210984
11.68,0.09513801
11.7,0.1091079
11.72,0.1152261
11.74,0.1213443
11.76,0.1274625
11.78,0.1356201
11.8,0.16213229
11.82,0.18354599
11.84,0.20801879
11.86,0.1264428
11.88,0.045070739
11.9,-0.0142758
11.92,-0.067912016
11.94,-0.056593348
11.96,-0.070665211
11.98,-0.10033848
12,-0.1274625
12.02,-0.1203246
12.04,-0.1070685
12.06,-0.093812397
12.08,-0.07576371
12.1,-0.082493729
12.12,-0.086674497
12.14,-0.087694197
12.16,-0.08800011
12.18,-0.08901981
12.2,-0.08850996
12.22,-0.090243447
12.24,-0.054757889
12.26,0.0053024396
12.28,0.021923549
12.3,0.024982649
12.32,0.059142598
12.34,0.032018579
12.36,0.02406492
12.38,0.049455448
12.4,0.060060329
12.42,0.053534248
12.44,0.036199349
12.46,0.02008809
12.48,0.020292029
12.5,0.050169239
12.52,0.034975708
12.54,0.029367358
12.56,0.044051039
12.58,0.024370829
12.6,0.0089733599
12.62,0.0078516895
12.64,-0.01509156
12.66,-0.0078516895
12.68,-0.0019374299
12.7,0.0076477497
12.72,0.0044866799
12.74,-0.014785649
12.76,-0.032222519
12.78,-0.02457477
12.8,-0.0028551599
12.82,0.01855854
12.84,0.043439217
12.86,0.04476483
12.88,0.052208639
12.9,0.047518017
12.92,0.04884363
12.94,0.019680209
12.96,0.02263734
12.98,0.027939779
13,0.040074208
13.02,0.05139288
13.04,0.058836689
13.06,0.059958357
13.08,0.083819334
13.1,0.081270084
13.12,0.096769528
13.14,0.035179649
13.16,0.0045886498
13.18,-0.01254231
13.2,-0.03538359
13.22,-0.043439217
13.24,-0.042419517
13.26,-0.028041749
13.28,-0.027531899
13.3,0.0075457798
13.32,0.043643158
13.34,-0.02355507
13.36,-0.039462389
13.38,-0.0084635099
13.4,0.014173829
13.42,0.045376648
13.44,0.00275319
13.46,-0.071073084
13.48,-0.081168116
13.5,-0.02559447
13.52,-0.01376595
13.54,0.0080556298
13.56,-0.01172655
13.58,-0.02559447
13.6,-0.033956008
13.62,-0.027429929
13.64,-0.030692969
13.66,-0.020393999
13.68,-0.0068319896
13.7,-0.0038748598
13.72,0.01070685
13.74,0.030183119
13.76,0.03507768
13.78,0.097585284
13.8,0.09156906
13.82,0.018252629
13.84,-0.036913139
13.86,-0.10135818
13.88,-0.082289784
13.9,-0.075865679
13.92,-0.05496183
13.94,-0.033650099
13.96,-0.01305216
13.98,0.0031610698
14,0.01509156
14.02,0.051800757
14.04,-0.00224334
14.06,-0.04986333
14.08,-0.036505258
14.1,-0.070461266
14.12,-0.052616517
14.14,-0.037830867
14.16,0.0089733599
14.18,0.064445039
14.2,0.085756765
14.22,0.1305216
14.24,0.1417383
14.26,0.1213443
14.28,0.076579466
14.3,0.022943249
14.32,-0.0089733599
14.34,-0.02314719
14.36,0.0075457798
14.38,0.01845657
14.4,0.05547168
14.42,0.04068603
14.44,0.0045886498
14.46,-0.0083615395
14.48,-0.018864449
14.5,-0.0020393999
14.52,0.00061182
14.54,-0.011930489
14.56,-0.021413699
14.58,-0.030896908
14.6,-0.052208639
14.62,-0.074132184
14.64,-0.05904063
14.66,-0.027124019
14.68,-0.018150659
14.7,0.0040787999
14.72,0.0099930598
14.74,0.013969889
14.76,0.02253537
14.78,0.044560889
14.8,0.0092792701
14.82,-0.055879557
14.84,-0.056593348
14.86,-0.024778708
14.88,-0.0082595701
14.9,0.025492499
14.92,0.041807699
14.94,0.01855854
14.96,-0.00275319
14.98,-0.024778708
15,-0.0015295499
15.02,0.02518659
15.04,0.049149539
15.06,0.07984251
15.08,0.063425339
15.1,0.033752067
15.12,-0.0014275799
15.14,-0.019884149
15.16,-0.02518659
15.18,-0.02161764
15.2,-0.0112167
15.22,0.0050984998
15.24,0.02457477
15.26,-0.00346698
15.28,-0.02202552
15.3,-0.048027867
15.32,-0.037015108
15.34,-0.019884149
15.36,-0.0018354599
15.38,0.017334899
15.4,-0.0081575997
15.42,0.00050984998
15.44,0.023453099
15.46,0.03813678
15.48,0.061283966
15.5,0.052616517
15.52,0.044051039
15.54,0.03507768
15.56,0.051494848
15.58,0.066586411
15.6,0.069645511
15.62,0.01753884
15.64,-0.017334899
15.66,-0.053738189
15.68,-0.067708079
15.7,-0.039462389
15.72,-0.02263734
15.74,-0.0033650098
15.76,0.012134429
15.78,-0.01305216
15.8,-0.035791467
15.82,-0.05241258
15.84,-0.034159949
15.86,-0.022229458
15.88,-0.00122364
15.9,0.014479739
15.92,0.0071378998
15.94,-0.00642411
15.96,-0.0122364
15.98,-0.03283434
16,-0.035281617
16.02,-0.0092792701
16.04,0.0074438099
16.06,0.031508729
16.08,0.048129839
16.1,0.061487907
16.12,0.058734716
16.14,0.033650099
16.16,-0.0074438099
16.18,-0.079230684
16.2,-0.061997757
16.22,-0.044662858
16.24,-0.021311729
16.26,0.0031610698
16.28,0.035689499
16.3,0.029877208
16.32,0.01233837
16.34,0.034465858
16.36,0.03232449
16.38,0.025900379
16.4,0.02100582
16.42,0.020190059
16.44,0.017742779
16.46,0.0021413698
16.48,-0.014683679
16.5,-0.034975708
16.52,-0.03456783
16.54,-0.014785649
16.56,-0.0028551599
16.58,0.017334899
16.6,-0.00978912
16.62,-0.026002349
16.64,-0.028449629
16.66,-0.039564358
16.68,-0.02467674
16.7,-0.021923549
16.72,-0.01855854
16.74,-0.017742779
16.76,-0.0038748598
16.78,-0.00275319
16.8,-0.018864449
16.82,-0.01254231
16.84,0.0088713895
16.86,0.034975708
16.88,0.070869148
16.9,0.092792697
16.92,0.08698041
16.94,0.077497197
16.96,0.052310607
16.98,0.01896642
17,0.0015295499
17.02,-0.019374299
17.04,-0.01539747
17.06,-0.0074438099
17.08,0.0021413698
17.1,0.013154129
17.12,0.021923549
17.14,0.00244728
17.16,-0.012644279
17.18,-0.03354813
17.2,-0.05292243
17.22,-0.072194761
17.24,-0.05904063
17.26,-0.047110139
17.28,-0.03130479
17.3,-0.014785649
17.32,-0.00091772994
17.34,-0.018354599
17.36,-0.032426458
17.38,-0.047416048
17.4,-0.039870267
17.42,-0.035179649
17.44,-0.032222519
17.46,-0.044356948
17.48,-0.050067267
17.5,-0.048435748
17.52,-0.042827399
17.54,-0.036811167
17.56,-0.02824569
17.58,-0.026308258
17.6,-0.014173829
17.62,-0.00693396
17.64,0.051698789
17.66,0.073622334
17.68,0.08952966
17.7,0.079740534
17.72,0.078007047
17.74,0.04476483
17.76,0.0081575997
17.78,0.0013256099
17.8,-0.01284822
17.82,-0.0015295499
17.84,0.0030590999
17.86,0.010604879
17.88,0.010604879
17.9,0.019680209
17.92,0.020903849
17.94,0.0075457798
17.96,-0.0057103197
17.98,-0.0073418396
18,0.0071378998
18.02,0.01080882
18.04,0.014989589
18.06,-0.00091772994
18.08,-0.016213229
18.1,-0.01906839
18.12,-0.00071378996
18.14,0.015805349
18.16,0.01070685
18.18,-0.01172655
18.2,-0.03079494
18.22,-0.031508729
18.24,-0.0096871497
18.26,-0.00591426
18.28,0.00040787999
18.3,0.0020393999
18.32,0.0050984998
18.34,0.0058122896
18.36,0.0098910895
18.38,0.013663979
18.4,0.01804869
18.42,0.022229458
18.44,0.026614169
18.46,0.03079494
18.48,0.035281617
18.5,0.039360417
18.52,0.04833378
18.54,0.040074208
18.56,0.024268858
18.58,0.01172655
18.6,-0.0080556298
18.62,-0.012644279
18.64,0.0055063799
18.66,0.00275319
18.68,-0.025492499
18.7,-0.057715016
18.72,-0.064241098
18.74,-0.060264266
18.76,-0.042113608
18.78,-0.00693396
18.8,0.02773584
18.82,0.02824569
18.84,-0.0021413698
18.86,-0.0061181998
18.88,-0.0112167
18.9,-0.02253537
18.92,-0.042419517
18.94,-0.05292243
18.96,-0.02263734
18.98,0.0030590999
19,0.0080556298
19.02,0.014173829
19.04,0.01743687
19.06,0.025798408
19.08,0.032936308
19.1,0.039870267
19.12,0.016723079
19.14,-0.01386792
19.16,-0.032936308
19.18,-0.029673269
19.2,-0.02926539
19.22,-0.030998879
19.24,-0.03456783
19.26,-0.024982649
19.28,-0.0077497196
19.3,0.01274625
19.32,0.038340717
19.34,0.040991939
19.36,0.024982649
19.38,0.01590732
19.4,-0.0040787999
19.42,-0.01560141
19.44,-0.029469329
19.46,-0.032222519
19.48,-0.01131867
19.5,0.0095851793
19.52,0.034159949
19.54,0.058734716
19.56,0.04323528
19.58,0.01458171
19.6,-0.00071378996
19.62,-0.01376595
19.64,-0.027531899
19.66,-0.034771767
19.68,-0.03640329
19.7,-0.040380117
19.72,-0.040991939
19.74,-0.049761357
19.76,-0.048945598
19.78,-0.041399817
19.8,-0.041501789
19.82,-0.035791467
19.84,-0.01906839
19.86,-0.0058122896
19.88,0.0044866799
19.9,-0.0019374299
19.92,-0.0073418396
19.94,-0.017232929
19.96,-0.01172655
19.98,0.01284822
20,0.036505258
20.02,0.066688379
20.04,0.073010516
20.06,0.077701134
20.08,0.075355829
20.1,0.064037157
20.12,0.04935348
20.14,0.026920079
20.16,-0.0044866799
20.18,-0.029367358
20.2,-0.03915648
20.22,-0.050169239
20.24,-0.043643158
20.26,-0.042419517
20.28,-0.028143719
20.3,-0.0053024396
20.32,0.02416689
20.34,0.043439217
20.36,0.061589879
20.38,0.046090439
20.4,0.028959479
20.42,0.01284822
20.44,-0.0055063799
20.46,-0.028041749
20.48,-0.043133308
20.5,-0.017844749
20.52,0.00010197
20.54,0.025900379
20.56,0.049047567
